lambda,eps,n,reps_used,pop_trace_fixed,pop_trace_full,mean_T,rej_chi2_1,rej_chi2_5,rej_chi2_10,rej_fixed_1,rej_fixed_5,rej_fixed_10,rej_full_1,rej_full_5,rej_full_10
0.55,0,500,2000,2.8613,2.86132,2.94085,0.0105,0.0465,0.0945,0.0105,0.054,0.0995,0.006,0.038,0.084
0.55,0,1500,2000,2.8613,2.86132,2.96884,0.0115,0.055,0.1065,0.013,0.0625,0.113,0.01,0.0565,0.1095
0.55,0.08,500,2000,2.83687,2.88754,2.99467,0.0105,0.053,0.1015,0.0125,0.06,0.1155,0.005,0.0405,0.087
0.55,0.08,1500,2000,2.83687,2.88754,2.93459,0.0105,0.0455,0.0945,0.013,0.055,0.1085,0.0085,0.046,0.097
0.55,0.16,500,2000,2.77282,2.96819,3.03499,0.0155,0.052,0.1085,0.0175,0.067,0.129,0.0035,0.033,0.082
0.55,0.16,1500,2000,2.77282,2.96819,3.07579,0.012,0.065,0.12,0.0145,0.083,0.1385,0.0085,0.0515,0.109
0.55,0.24,500,2000,2.63102,3.04303,3.00895,0.02,0.066,0.1105,0.0255,0.083,0.1385,0.004,0.0325,0.077
0.55,0.24,1500,2000,2.63102,3.04303,3.09759,0.018,0.0635,0.114,0.0235,0.0845,0.146,0.008,0.0425,0.09
0.7,0,500,2000,2.70875,2.70876,2.67984,0.009,0.031,0.0755,0.011,0.044,0.0995,0.004,0.028,0.0775
0.7,0,1500,2000,2.70875,2.70876,2.63178,0.003,0.03,0.067,0.007,0.0485,0.0985,0.0055,0.043,0.0885
0.7,0.08,500,2000,2.64183,2.71053,2.70525,0.007,0.0365,0.0775,0.0115,0.053,0.1065,0.0035,0.0305,0.072
0.7,0.08,1500,2000,2.64183,2.71053,2.72203,0.0075,0.0355,0.08,0.012,0.0575,0.1095,0.0065,0.042,0.095
0.7,0.16,500,2000,2.49782,2.75848,2.84555,0.0125,0.0465,0.0965,0.0195,0.0845,0.138,0.0045,0.0265,0.0825
0.7,0.16,1500,2000,2.49782,2.75848,2.81086,0.007,0.048,0.0925,0.022,0.085,0.1435,0.0045,0.0425,0.0935
0.7,0.24,500,2000,2.12627,2.62519,2.62334,0.0145,0.046,0.0855,0.03,0.104,0.1605,0.0015,0.025,0.066
0.7,0.24,1500,2000,2.12627,2.62519,2.63068,0.013,0.0465,0.083,0.0355,0.105,0.169,0.008,0.0405,0.0855
