"p","n","distribution","truth","df","n_over_df","rho","cell_id"
5,100,"normal","null",5,20,0,1
20,100,"normal","null",170,0.588235294117647,0,2
5,400,"normal","null",5,80,0,3
20,400,"normal","null",170,2.35294117647059,0,4
5,100,"pl","null",5,20,0,5
20,100,"pl","null",170,0.588235294117647,0,6
5,400,"pl","null",5,80,0,7
20,400,"pl","null",170,2.35294117647059,0,8
5,100,"normal","power",5,20,0.25,9
20,100,"normal","power",170,0.588235294117647,0.25,10
5,400,"normal","power",5,80,0.25,11
20,400,"normal","power",170,2.35294117647059,0.25,12
5,100,"pl","power",5,20,0.25,13
20,100,"pl","power",170,0.588235294117647,0.25,14
5,400,"pl","power",5,80,0.25,15
20,400,"pl","power",170,2.35294117647059,0.25,16
