"p","n","df","n_over_df","distribution","method","n_null","n_power","nominal_power","matched_power","ci_lower","ci_upper"
5,100,5,20,"normal","flip_effective",100,100,0.28,0.33,0.245631227341281,0.426946562049095
20,100,170,0.588235294117647,"normal","flip_effective",100,100,0.19,0.09,0.0480725400025652,0.162262128527163
5,400,5,80,"normal","flip_effective",100,100,0.88,0.88,0.801879005732886,0.930005935629805
20,400,170,2.35294117647059,"normal","flip_effective",100,100,0.42,0.3,0.218948852949328,0.395848546333466
5,100,5,20,"pl","flip_effective",100,100,0.19,0.09,0.0480725400025652,0.162262128527163
20,100,170,0.588235294117647,"pl","flip_effective",100,100,0.3,0.03,0.0102545240240389,0.0845193642905274
5,400,5,80,"pl","flip_effective",100,100,0.35,0.46,0.365608083090241,0.557351396766318
20,400,170,2.35294117647059,"pl","flip_effective",100,100,0.19,0.14,0.0852634365993914,0.221371882109638
5,100,5,20,"normal","flip_standardized",100,100,0.25,0.25,0.175452113622877,0.343044635480616
5,400,5,80,"normal","flip_standardized",100,100,0.85,0.77,0.678456169771262,0.841567341196965
20,400,170,2.35294117647059,"normal","flip_standardized",100,100,0.44,0,0,0.0369934982069855
5,100,5,20,"pl","flip_standardized",100,100,0.19,0.03,0.0102545240240389,0.0845193642905274
5,400,5,80,"pl","flip_standardized",100,100,0.34,0.26,0.184046984647481,0.353709894491872
20,400,170,2.35294117647059,"pl","flip_standardized",100,100,0.18,0.04,0.0156633039915476,0.098370714358879
5,100,5,20,"normal","flip_standardized_chisq",100,100,0.22,0.28,0.201396852111862,0.374880287099211
5,400,5,80,"normal","flip_standardized_chisq",100,100,0.83,0.81,0.722211546209356,0.874852484902313
20,400,170,2.35294117647059,"normal","flip_standardized_chisq",100,100,0.22,0.15,0.0930598528365664,0.232835595908323
5,100,5,20,"pl","flip_standardized_chisq",100,100,0.06,0.06,0.0277861239631882,0.124768154458959
5,400,5,80,"pl","flip_standardized_chisq",100,100,0.18,0.23,0.158432658803035,0.321543830228738
20,400,170,2.35294117647059,"pl","flip_standardized_chisq",100,100,0.01,0.06,0.0277861239631882,0.124768154458959
5,100,5,20,"normal","gof_all_ml",100,100,0.27,0.34,0.254615207973482,0.437222711452754
20,100,170,0.588235294117647,"normal","gof_all_ml",100,100,0.07,0.14,0.0852634365993914,0.221371882109638
5,400,5,80,"normal","gof_all_ml",100,100,0.88,0.88,0.801879005732886,0.930005935629805
20,400,170,2.35294117647059,"normal","gof_all_ml",100,100,0.32,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_all_ml",100,100,0.11,0.07,0.0343192610672727,0.137495147390735
20,100,170,0.588235294117647,"pl","gof_all_ml",100,100,0,0.01,0.00176743206414065,0.0544861961787052
5,400,5,80,"pl","gof_all_ml",100,100,0.24,0.42,0.327983826743548,0.51793513296957
20,400,170,2.35294117647059,"pl","gof_all_ml",100,100,0,0.14,0.0852634365993914,0.221371882109638
5,100,5,20,"normal","gof_all_rls",100,100,0.25,0.33,0.245631227341281,0.426946562049095
20,100,170,0.588235294117647,"normal","gof_all_rls",100,100,0.01,0.09,0.0480725400025652,0.162262128527163
5,400,5,80,"normal","gof_all_rls",100,100,0.89,0.89,0.813687034969197,0.937458036429354
20,400,170,2.35294117647059,"normal","gof_all_rls",100,100,0.26,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_all_rls",100,100,0.06,0.1,0.0552291370606752,0.174365661504913
20,100,170,0.588235294117647,"pl","gof_all_rls",100,100,0,0.06,0.0277861239631882,0.124768154458959
5,400,5,80,"pl","gof_all_rls",100,100,0.25,0.42,0.327983826743548,0.51793513296957
20,400,170,2.35294117647059,"pl","gof_all_rls",100,100,0,0.14,0.0852634365993914,0.221371882109638
5,100,5,20,"normal","gof_mv_ml",100,100,0.27,0.34,0.254615207973482,0.437222711452754
20,100,170,0.588235294117647,"normal","gof_mv_ml",100,100,0.09,0.14,0.0852634365993914,0.221371882109638
5,400,5,80,"normal","gof_mv_ml",100,100,0.88,0.88,0.801879005732886,0.930005935629805
20,400,170,2.35294117647059,"normal","gof_mv_ml",100,100,0.32,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_mv_ml",100,100,0.11,0.07,0.0343192610672727,0.137495147390735
20,100,170,0.588235294117647,"pl","gof_mv_ml",100,100,0,0.02,0.00550196755016236,0.0700117907285438
5,400,5,80,"pl","gof_mv_ml",100,100,0.23,0.42,0.327983826743548,0.51793513296957
20,400,170,2.35294117647059,"pl","gof_mv_ml",100,100,0,0.12,0.069994064370195,0.198120994267114
5,100,5,20,"normal","gof_mv_rls",100,100,0.25,0.33,0.245631227341281,0.426946562049095
20,100,170,0.588235294117647,"normal","gof_mv_rls",100,100,0.01,0.09,0.0480725400025652,0.162262128527163
5,400,5,80,"normal","gof_mv_rls",100,100,0.89,0.89,0.813687034969197,0.937458036429354
20,400,170,2.35294117647059,"normal","gof_mv_rls",100,100,0.26,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_mv_rls",100,100,0.06,0.11,0.0625419635706458,0.186312965030803
20,100,170,0.588235294117647,"pl","gof_mv_rls",100,100,0,0.06,0.0277861239631882,0.124768154458959
5,400,5,80,"pl","gof_mv_rls",100,100,0.25,0.41,0.318673130211365,0.507985699465892
20,400,170,2.35294117647059,"pl","gof_mv_rls",100,100,0,0.16,0.100952884888048,0.244202693892702
5,100,5,20,"normal","gof_peba4_ml",100,100,0.29,0.34,0.254615207973482,0.437222711452754
20,100,170,0.588235294117647,"normal","gof_peba4_ml",100,100,0.34,0.15,0.0930598528365664,0.232835595908323
5,400,5,80,"normal","gof_peba4_ml",100,100,0.88,0.88,0.801879005732886,0.930005935629805
20,400,170,2.35294117647059,"normal","gof_peba4_ml",100,100,0.44,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_peba4_ml",100,100,0.17,0.08,0.0410934614843807,0.149981077009487
20,100,170,0.588235294117647,"pl","gof_peba4_ml",100,100,0.35,0.05,0.021543679154368,0.111750469231919
5,400,5,80,"pl","gof_peba4_ml",100,100,0.3,0.4,0.309401286432459,0.497997413208938
20,400,170,2.35294117647059,"pl","gof_peba4_ml",100,100,0.13,0.15,0.0930598528365664,0.232835595908323
5,100,5,20,"normal","gof_peba4_rls",100,100,0.3,0.33,0.245631227341281,0.426946562049095
20,100,170,0.588235294117647,"normal","gof_peba4_rls",100,100,0.16,0.09,0.0480725400025652,0.162262128527163
5,400,5,80,"normal","gof_peba4_rls",100,100,0.89,0.89,0.813687034969197,0.937458036429354
20,400,170,2.35294117647059,"normal","gof_peba4_rls",100,100,0.38,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_peba4_rls",100,100,0.15,0.08,0.0410934614843807,0.149981077009487
20,100,170,0.588235294117647,"pl","gof_peba4_rls",100,100,0.2,0.07,0.0343192610672727,0.137495147390735
5,400,5,80,"pl","gof_peba4_rls",100,100,0.31,0.42,0.327983826743548,0.51793513296957
20,400,170,2.35294117647059,"pl","gof_peba4_rls",100,100,0.14,0.14,0.0852634365993914,0.221371882109638
5,100,5,20,"normal","gof_sb_ml",100,100,0.29,0.34,0.254615207973482,0.437222711452754
