"cell_id","p","n","df","n_over_df","distribution","truth","method","n_valid","rejected","rejection_rate","ci_lower","ci_upper"
1,5,100,5,20,"normal","null","flip_effective",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","flip_standardized",100,4,0.04,0.0156633039915476,0.098370714358879
1,5,100,5,20,"normal","null","flip_standardized_chisq",100,3,0.03,0.0102545240240389,0.0845193642905274
1,5,100,5,20,"normal","null","gof_all_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","gof_all_rls",100,0,0,0,0.0369934982069855
1,5,100,5,20,"normal","null","gof_mv_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","gof_mv_rls",100,0,0,0,0.0369934982069855
1,5,100,5,20,"normal","null","gof_peba4_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","gof_peba4_rls",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","gof_sb_ml",100,2,0.02,0.00550196755016236,0.0700117907285438
1,5,100,5,20,"normal","null","gof_sb_rls",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","gof_ss_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","gof_ss_rls",100,0,0,0,0.0369934982069855
1,5,100,5,20,"normal","null","gof_std_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
1,5,100,5,20,"normal","null","gof_std_rls",100,0,0,0,0.0369934982069855
2,20,100,170,0.588235294117647,"normal","null","flip_effective",100,12,0.12,0.069994064370195,0.198120994267114
2,20,100,170,0.588235294117647,"normal","null","flip_standardized",0,0,NA,NA,NA
2,20,100,170,0.588235294117647,"normal","null","flip_standardized_chisq",0,0,NA,NA,NA
2,20,100,170,0.588235294117647,"normal","null","gof_all_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
2,20,100,170,0.588235294117647,"normal","null","gof_all_rls",100,0,0,0,0.0369934982069855
2,20,100,170,0.588235294117647,"normal","null","gof_mv_ml",100,2,0.02,0.00550196755016236,0.0700117907285438
2,20,100,170,0.588235294117647,"normal","null","gof_mv_rls",100,0,0,0,0.0369934982069855
2,20,100,170,0.588235294117647,"normal","null","gof_peba4_ml",100,26,0.26,0.184046984647481,0.353709894491872
2,20,100,170,0.588235294117647,"normal","null","gof_peba4_rls",100,9,0.09,0.0480725400025652,0.162262128527163
2,20,100,170,0.588235294117647,"normal","null","gof_sb_ml",100,38,0.38,0.290975992524788,0.477902447044889
2,20,100,170,0.588235294117647,"normal","null","gof_sb_rls",100,16,0.16,0.100952884888048,0.244202693892702
2,20,100,170,0.588235294117647,"normal","null","gof_ss_ml",100,2,0.02,0.00550196755016236,0.0700117907285438
2,20,100,170,0.588235294117647,"normal","null","gof_ss_rls",100,0,0,0,0.0369934982069855
2,20,100,170,0.588235294117647,"normal","null","gof_std_ml",100,36,0.36,0.272712204014043,0.457645975483912
2,20,100,170,0.588235294117647,"normal","null","gof_std_rls",100,15,0.15,0.0930598528365664,0.232835595908323
3,5,400,5,80,"normal","null","flip_effective",100,3,0.03,0.0102545240240389,0.0845193642905274
3,5,400,5,80,"normal","null","flip_standardized",100,5,0.05,0.021543679154368,0.111750469231919
3,5,400,5,80,"normal","null","flip_standardized_chisq",100,6,0.06,0.0277861239631882,0.124768154458959
3,5,400,5,80,"normal","null","gof_all_ml",100,4,0.04,0.0156633039915476,0.098370714358879
3,5,400,5,80,"normal","null","gof_all_rls",100,5,0.05,0.021543679154368,0.111750469231919
3,5,400,5,80,"normal","null","gof_mv_ml",100,4,0.04,0.0156633039915476,0.098370714358879
3,5,400,5,80,"normal","null","gof_mv_rls",100,5,0.05,0.021543679154368,0.111750469231919
3,5,400,5,80,"normal","null","gof_peba4_ml",100,4,0.04,0.0156633039915476,0.098370714358879
3,5,400,5,80,"normal","null","gof_peba4_rls",100,5,0.05,0.021543679154368,0.111750469231919
3,5,400,5,80,"normal","null","gof_sb_ml",100,4,0.04,0.0156633039915476,0.098370714358879
3,5,400,5,80,"normal","null","gof_sb_rls",100,5,0.05,0.021543679154368,0.111750469231919
3,5,400,5,80,"normal","null","gof_ss_ml",100,4,0.04,0.0156633039915476,0.098370714358879
3,5,400,5,80,"normal","null","gof_ss_rls",100,5,0.05,0.021543679154368,0.111750469231919
3,5,400,5,80,"normal","null","gof_std_ml",100,4,0.04,0.0156633039915476,0.098370714358879
3,5,400,5,80,"normal","null","gof_std_rls",100,4,0.04,0.0156633039915476,0.098370714358879
4,20,400,170,2.35294117647059,"normal","null","flip_effective",100,13,0.13,0.0775716742724052,0.209803514400764
4,20,400,170,2.35294117647059,"normal","null","flip_standardized",100,23,0.23,0.158432658803035,0.321543830228738
4,20,400,170,2.35294117647059,"normal","null","flip_standardized_chisq",100,10,0.1,0.0552291370606752,0.174365661504913
4,20,400,170,2.35294117647059,"normal","null","gof_all_ml",100,9,0.09,0.0480725400025652,0.162262128527163
4,20,400,170,2.35294117647059,"normal","null","gof_all_rls",100,7,0.07,0.0343192610672727,0.137495147390735
4,20,400,170,2.35294117647059,"normal","null","gof_mv_ml",100,10,0.1,0.0552291370606752,0.174365661504913
4,20,400,170,2.35294117647059,"normal","null","gof_mv_rls",100,7,0.07,0.0343192610672727,0.137495147390735
4,20,400,170,2.35294117647059,"normal","null","gof_peba4_ml",100,11,0.11,0.0625419635706458,0.186312965030803
4,20,400,170,2.35294117647059,"normal","null","gof_peba4_rls",100,10,0.1,0.0552291370606752,0.174365661504913
4,20,400,170,2.35294117647059,"normal","null","gof_sb_ml",100,12,0.12,0.069994064370195,0.198120994267114
4,20,400,170,2.35294117647059,"normal","null","gof_sb_rls",100,11,0.11,0.0625419635706458,0.186312965030803
4,20,400,170,2.35294117647059,"normal","null","gof_ss_ml",100,10,0.1,0.0552291370606752,0.174365661504913
4,20,400,170,2.35294117647059,"normal","null","gof_ss_rls",100,8,0.08,0.0410934614843807,0.149981077009487
4,20,400,170,2.35294117647059,"normal","null","gof_std_ml",100,12,0.12,0.069994064370195,0.198120994267114
4,20,400,170,2.35294117647059,"normal","null","gof_std_rls",100,11,0.11,0.0625419635706458,0.186312965030803
5,5,100,5,20,"pl","null","flip_effective",100,8,0.08,0.0410934614843807,0.149981077009487
5,5,100,5,20,"pl","null","flip_standardized",100,16,0.16,0.100952884888048,0.244202693892702
5,5,100,5,20,"pl","null","flip_standardized_chisq",100,4,0.04,0.0156633039915476,0.098370714358879
5,5,100,5,20,"pl","null","gof_all_ml",100,6,0.06,0.0277861239631882,0.124768154458959
5,5,100,5,20,"pl","null","gof_all_rls",100,3,0.03,0.0102545240240389,0.0845193642905274
5,5,100,5,20,"pl","null","gof_mv_ml",100,6,0.06,0.0277861239631882,0.124768154458959
5,5,100,5,20,"pl","null","gof_mv_rls",100,3,0.03,0.0102545240240389,0.0845193642905274
5,5,100,5,20,"pl","null","gof_peba4_ml",100,11,0.11,0.0625419635706458,0.186312965030803
5,5,100,5,20,"pl","null","gof_peba4_rls",100,9,0.09,0.0480725400025652,0.162262128527163
5,5,100,5,20,"pl","null","gof_sb_ml",100,12,0.12,0.069994064370195,0.198120994267114
5,5,100,5,20,"pl","null","gof_sb_rls",100,10,0.1,0.0552291370606752,0.174365661504913
5,5,100,5,20,"pl","null","gof_ss_ml",100,6,0.06,0.0277861239631882,0.124768154458959
5,5,100,5,20,"pl","null","gof_ss_rls",100,3,0.03,0.0102545240240389,0.0845193642905274
5,5,100,5,20,"pl","null","gof_std_ml",100,68,0.68,0.583373813895476,0.763308526750009
5,5,100,5,20,"pl","null","gof_std_rls",100,67,0.67,0.573053437950905,0.754368772658719
6,20,100,170,0.588235294117647,"pl","null","flip_effective",100,33,0.33,0.245631227341281,0.426946562049095
6,20,100,170,0.588235294117647,"pl","null","flip_standardized",0,0,NA,NA,NA
6,20,100,170,0.588235294117647,"pl","null","flip_standardized_chisq",0,0,NA,NA,NA
6,20,100,170,0.588235294117647,"pl","null","gof_all_ml",100,0,0,0,0.0369934982069855
6,20,100,170,0.588235294117647,"pl","null","gof_all_rls",100,0,0,0,0.0369934982069855
6,20,100,170,0.588235294117647,"pl","null","gof_mv_ml",100,0,0,0,0.0369934982069855
6,20,100,170,0.588235294117647,"pl","null","gof_mv_rls",100,0,0,0,0.0369934982069855
6,20,100,170,0.588235294117647,"pl","null","gof_peba4_ml",100,32,0.32,0.236691473249991,0.416626186104524
6,20,100,170,0.588235294117647,"pl","null","gof_peba4_rls",100,20,0.2,0.133366933331033,0.288829165593159
6,20,100,170,0.588235294117647,"pl","null","gof_sb_ml",100,60,0.6,0.502002586791062,0.690598713567541
6,20,100,170,0.588235294117647,"pl","null","gof_sb_rls",100,41,0.41,0.318673130211365,0.507985699465892
6,20,100,170,0.588235294117647,"pl","null","gof_ss_ml",100,0,0,0,0.0369934982069855
6,20,100,170,0.588235294117647,"pl","null","gof_ss_rls",100,0,0,0,0.0369934982069855
6,20,100,170,0.588235294117647,"pl","null","gof_std_ml",100,100,1,0.963006501793014,1
6,20,100,170,0.588235294117647,"pl","null","gof_std_rls",100,100,1,0.963006501793014,1
7,5,400,5,80,"pl","null","flip_effective",100,3,0.03,0.0102545240240389,0.0845193642905274
7,5,400,5,80,"pl","null","flip_standardized",100,8,0.08,0.0410934614843807,0.149981077009487
7,5,400,5,80,"pl","null","flip_standardized_chisq",100,1,0.01,0.00176743206414065,0.0544861961787052
7,5,400,5,80,"pl","null","gof_all_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
7,5,400,5,80,"pl","null","gof_all_rls",100,0,0,0,0.0369934982069855
7,5,400,5,80,"pl","null","gof_mv_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
7,5,400,5,80,"pl","null","gof_mv_rls",100,0,0,0,0.0369934982069855
7,5,400,5,80,"pl","null","gof_peba4_ml",100,2,0.02,0.00550196755016236,0.0700117907285438
7,5,400,5,80,"pl","null","gof_peba4_rls",100,1,0.01,0.00176743206414065,0.0544861961787052
7,5,400,5,80,"pl","null","gof_sb_ml",100,2,0.02,0.00550196755016236,0.0700117907285438
7,5,400,5,80,"pl","null","gof_sb_rls",100,2,0.02,0.00550196755016236,0.0700117907285438
7,5,400,5,80,"pl","null","gof_ss_ml",100,1,0.01,0.00176743206414065,0.0544861961787052
7,5,400,5,80,"pl","null","gof_ss_rls",100,0,0,0,0.0369934982069855
7,5,400,5,80,"pl","null","gof_std_ml",100,63,0.63,0.532205295809429,0.718176394656755
7,5,400,5,80,"pl","null","gof_std_rls",100,63,0.63,0.532205295809429,0.718176394656755
8,20,400,170,2.35294117647059,"pl","null","flip_effective",100,8,0.08,0.0410934614843807,0.149981077009487
8,20,400,170,2.35294117647059,"pl","null","flip_standardized",100,11,0.11,0.0625419635706458,0.186312965030803
8,20,400,170,2.35294117647059,"pl","null","flip_standardized_chisq",100,0,0,0,0.0369934982069855
8,20,400,170,2.35294117647059,"pl","null","gof_all_ml",100,0,0,0,0.0369934982069855
8,20,400,170,2.35294117647059,"pl","null","gof_all_rls",100,0,0,0,0.0369934982069855
8,20,400,170,2.35294117647059,"pl","null","gof_mv_ml",100,0,0,0,0.0369934982069855
8,20,400,170,2.35294117647059,"pl","null","gof_mv_rls",100,0,0,0,0.0369934982069855
8,20,400,170,2.35294117647059,"pl","null","gof_peba4_ml",100,4,0.04,0.0156633039915476,0.098370714358879
8,20,400,170,2.35294117647059,"pl","null","gof_peba4_rls",100,4,0.04,0.0156633039915476,0.098370714358879
8,20,400,170,2.35294117647059,"pl","null","gof_sb_ml",100,11,0.11,0.0625419635706458,0.186312965030803
8,20,400,170,2.35294117647059,"pl","null","gof_sb_rls",100,13,0.13,0.0775716742724052,0.209803514400764
8,20,400,170,2.35294117647059,"pl","null","gof_ss_ml",100,0,0,0,0.0369934982069855
8,20,400,170,2.35294117647059,"pl","null","gof_ss_rls",100,0,0,0,0.0369934982069855
8,20,400,170,2.35294117647059,"pl","null","gof_std_ml",100,100,1,0.963006501793014,1
8,20,400,170,2.35294117647059,"pl","null","gof_std_rls",100,100,1,0.963006501793014,1
9,5,100,5,20,"normal","power","flip_effective",100,28,0.28,0.201396852111862,0.374880287099211
9,5,100,5,20,"normal","power","flip_standardized",100,25,0.25,0.175452113622877,0.343044635480616
9,5,100,5,20,"normal","power","flip_standardized_chisq",100,22,0.22,0.150012823846054,0.310703535149858
