"cell_id","p","n","df","n_over_df","distribution","truth","n_paired","standardization_availability","rejection_effective","rejection_standardized","disagreement_rate","mean_abs_delta_p","median_eigen_ratio","median_identity_distance"
1,5,100,5,20,"normal","null",100,1,0.01,0.04,0.03,0.0729,2.64849053949126,0.342430508531725
2,20,100,170,0.588235294117647,"normal","null",0,0,NA,NA,NA,NA,Inf,1.55449787095617
3,5,400,5,80,"normal","null",100,1,0.03,0.05,0.02,0.04,1.64892493045786,0.180556650313313
4,20,400,170,2.35294117647059,"normal","null",100,1,0.13,0.23,0.24,0.19385,36.8083323971478,0.777306148948575
5,5,100,5,20,"pl","null",100,1,0.08,0.16,0.12,0.1909,18.0054945623688,2.85013797406747
6,20,100,170,0.588235294117647,"pl","null",0,0,NA,NA,NA,NA,Inf,14.1852103587063
7,5,400,5,80,"pl","null",100,1,0.03,0.08,0.07,0.1285,6.42904172980237,3.24223048963553
8,20,400,170,2.35294117647059,"pl","null",100,1,0.08,0.11,0.15,0.3059,42358.4077917725,10.6132690185891
9,5,100,5,20,"normal","power",100,1,0.28,0.25,0.11,0.0599,2.87180004400964,0.375400980377017
10,20,100,170,0.588235294117647,"normal","power",0,0,NA,NA,NA,NA,Inf,1.56674562874422
11,5,400,5,80,"normal","power",100,1,0.88,0.85,0.05,0.0091,1.99765992260646,0.26012996427186
12,20,400,170,2.35294117647059,"normal","power",100,1,0.42,0.44,0.3,0.1093,37.4548873563068,0.786545758150297
13,5,100,5,20,"pl","power",100,1,0.19,0.19,0.24,0.19075,20.8418938196522,3.50433447217575
14,20,100,170,0.588235294117647,"pl","power",0,0,NA,NA,NA,NA,Inf,14.2043702642477
15,5,400,5,80,"pl","power",100,1,0.35,0.34,0.21,0.10695,6.74293961341605,3.63400465850507
16,20,400,170,2.35294117647059,"pl","power",100,1,0.19,0.18,0.25,0.3027,41943.2301966156,10.5336392791695
