"rep","fit_ok","flip_ok","fmg_ok","fit_error","flip_error","fmg_error","draw_seconds","fit_seconds","flip_seconds","fmg_seconds","total_seconds","flip_setup_seconds","flip_score_seconds","standardization_setup_seconds","flip_standardization_seconds","standardization_available","empirical_eigen_min","empirical_eigen_mean","empirical_eigen_cv","empirical_eigen_ratio","empirical_identity_distance","rls_statistic","flip_rls_abs_difference","p_flip_effective","p_flip_standardized","p_flip_standardized_chisq","p_gof_std_ml","p_gof_sb_ml","p_gof_mv_ml","p_gof_ss_ml","p_gof_peba4_ml","p_gof_all_ml","p_gof_std_rls","p_gof_sb_rls","p_gof_mv_rls","p_gof_ss_rls","p_gof_peba4_rls","p_gof_all_rls","p","n","distribution","truth","df","n_over_df","rho","cell_id"
1,TRUE,TRUE,TRUE,"","","",0,0.00299999999999997,0.00700000000000001,0.004,0.019,0.001,0.001,0,0,TRUE,0.600176756688362,0.872388617750168,0.321145260895125,2.21946335925794,0.281207967400328,6.05297479143955,1.58983937126322e-13,0.235,0.415,0.370139520038499,0.331114438022182,0.245055742048698,0.248008772530366,0.249939017647052,0.244913043306972,0.243952560842675,0.301098323276972,0.21797446268806,0.221695608056731,0.223329723621033,0.217998268075685,0.217809935748494,5,100,"normal","null",5,20,0,1
2,TRUE,TRUE,TRUE,"","","",0,0.001,0.002,0.004,0.011,0.001,0,0.001,0,TRUE,0.733389919806193,1.01185866306245,0.337976979175093,2.14124972324001,0.306110411644038,4.91509185270363,1.24344978758018e-14,0.42,0.275,0.306387733109451,0.42271799481873,0.423954304270291,0.419598404696258,0.423586953247505,0.422318322303412,0.415587102044473,0.42633022807697,0.427566261875638,0.423036195137161,0.427033146859683,0.425907862401284,0.419091014176296,5,100,"normal","null",5,20,0,1
3,TRUE,TRUE,TRUE,"","","",0,0.002,0.001,0.003,0.00700000000000001,0,0,0.001,0,TRUE,0.544199936670562,0.877735381578567,0.363109539441314,2.48300811053345,0.310179905746787,3.83890963654556,5.86197757002083e-14,0.5,0.305,0.262664786932506,0.562581352138128,0.480836497722419,0.472681971343594,0.477318133643434,0.478393300680743,0.469362592958306,0.57283442941683,0.491709509187139,0.482969509462547,0.487578797208553,0.48919859360129,0.479902848032692,5,100,"normal","null",5,20,0,1
4,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0.001,0,0,TRUE,0.665774244278727,1.20968829453966,0.45853596935194,2.958562190154,0.538618666670467,4.52193245488169,1.06581410364015e-14,0.59,0.455,0.478381020734701,0.435137032705038,0.544386560962838,0.527295124350617,0.533873631725332,0.539670175020653,0.524465835823593,0.476954324944282,0.583535916542115,0.563631833397987,0.569673999439483,0.578579578705274,0.562420840350582,5,100,"normal","null",5,20,0,1
5,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00800000000000001,0,0,0,0,TRUE,0.528115572756674,1.06015780962658,0.643262704674371,4.11953667522439,0.612922909931248,5.89182899584912,2.22044604925031e-14,0.36,0.585,0.556807902110403,0.332007770095698,0.360336319458001,0.355510356167519,0.367253135470554,0.356509660187372,0.342105576251547,0.316887157577359,0.344970208216243,0.342241258232052,0.35366990660275,0.34152233598489,0.328523926223105,5,100,"normal","null",5,20,0,1
6,TRUE,TRUE,TRUE,"","","",0,0,0.001,0.003,0.00600000000000001,0.001,0,0,0,TRUE,0.597964252830633,0.939895604552928,0.373222565556624,2.53549920180255,0.31946138627887,5.85477474843503,1.68753899743024e-14,0.28,0.29,0.272197443813809,0.328394550098859,0.284905193842443,0.287355977293252,0.290907870106229,0.284365789791604,0.281078087056136,0.320607469910842,0.277413719352632,0.280236988001268,0.283688195607912,0.276937001171421,0.273955500677144,5,100,"normal","null",5,20,0,1
7,TRUE,TRUE,TRUE,"","","",0,0,0.001,0.002,0.00600000000000001,0,0,0,0,TRUE,0.443615802213311,0.940252007416001,0.571433643605092,3.98129208381254,0.484268169082132,10.7654986778807,1.4495071809506e-12,0.05,0.01,0.0155510772654572,0.0400801957165131,0.0266868853530806,0.0388532060461993,0.0373429915776316,0.0294677693439375,0.0392852865207932,0.0562328791896023,0.0388641838954704,0.053125119756102,0.0518971803213088,0.0419223915191793,0.0525930094789322,5,100,"normal","null",5,20,0,1
8,TRUE,TRUE,TRUE,"","","",0,0.001,0.003,0.002,0.00700000000000001,0,0.001,0,0,TRUE,0.623120907780452,1.06387436960312,0.386238940008772,2.64747029427827,0.373038022368923,1.07937374118379,1.48103751484996e-13,0.965,0.965,0.968224391235315,0.956197695187351,0.961466025967548,0.950029527828139,0.941765355368241,0.960535097713457,0.957073946028018,0.955913080017985,0.961213188690075,0.949735099730645,0.941478350626649,0.960277102217649,0.956797132757175,5,100,"normal","null",5,20,0,1
9,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.00199999999999995,0.00599999999999995,0,0.001,0,0,TRUE,0.532099313914596,1.03754665330114,0.419605769220257,2.8959962070374,0.391204302154023,7.40941719607497,2.44249065417534e-13,0.19,0.26,0.276000737991919,0.216654208384941,0.228394560424576,0.234385463438304,0.237663802989132,0.228294436773229,0.228574769800286,0.191928046186349,0.203064315683933,0.210261559073028,0.2130254411159,0.203387697219121,0.204852315173478,5,100,"normal","null",5,20,0,1
10,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.577937392470814,0.966143745620248,0.358525830091465,2.51014148594133,0.311662765900923,2.05529364418378,2.26485497023532e-14,0.82,0.755,0.73498466333096,0.848320917755043,0.837246594452719,0.819295290226744,0.816855833136377,0.834815979626495,0.826204358946553,0.841442432027317,0.829966862503393,0.811910962706562,0.809745568960471,0.827476488005965,0.818666160249376,5,100,"normal","null",5,20,0,1
11,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.005,0.00800000000000001,0,0,0,0,TRUE,0.638758221170802,0.921345867796526,0.307172678709196,2.12553249063396,0.265072126439662,2.2837326942392,2.48245868306185e-13,0.815,0.84,0.802078439492734,0.813786703347667,0.783599278874462,0.770541911510597,0.770044316730142,0.781932636372396,0.774959790757916,0.808653112873168,0.777843688451777,0.764808797012376,0.76444425547403,0.776158548778515,0.769110300020279,5,100,"normal","null",5,20,0,1
12,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0,0,TRUE,0.524400840744202,1.08590980894802,0.423223090738621,3.08713223424403,0.419944120935572,10.6725004396551,6.51390053008072e-12,0.09,0.02,0.0457950521539249,0.0540522886024788,0.0695186307735859,0.0795578171943858,0.0793068394508917,0.0716485352503277,0.0784062699124495,0.058274203361567,0.0745236879662901,0.0847098744868899,0.0845706041640665,0.0766307352502978,0.0833522434576777,5,100,"normal","null",5,20,0,1
13,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0.001,0,TRUE,0.506239371051695,1.07638774746248,0.452087166433177,3.40936932541455,0.441899483599498,5.72159556847555,1.83408843668076e-12,0.405,0.21,0.207568280184321,0.28124075711173,0.317735842865624,0.318665802267523,0.324500248237532,0.316237888724642,0.311547414302162,0.334258159144442,0.372110140760179,0.368773423715395,0.375308749300018,0.369817294213565,0.361939270901588,5,100,"normal","null",5,20,0,1
14,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0,0,0,TRUE,0.693352065843582,0.999340842736799,0.299146987873212,2.0721338451295,0.267389644978592,1.52012969478135,1.45616851909836e-12,0.88,0.85,0.87591384659614,0.904077285880943,0.903375825194034,0.892538889515981,0.888852037432444,0.902205986451047,0.898101230477719,0.910735228185151,0.910076454013939,0.899539635147682,0.895661004489822,0.908966132848261,0.905067492343233,5,100,"normal","null",5,20,0,1
15,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0.001,0,TRUE,0.709608322167919,1.15267258442332,0.433679376524064,2.70771147167273,0.472462897862009,5.11814973228461,2.30926389122033e-14,0.51,0.48,0.445299845499266,0.390022356322926,0.471074626775096,0.460861302662457,0.467137534833667,0.467735639650211,0.456094970970415,0.401631996305957,0.482559687903084,0.47152021021885,0.477773436042926,0.479118537782132,0.46712134345769,5,100,"normal","null",5,20,0,1
16,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00600000000000001,0,0,0,0,TRUE,0.472069623390777,0.942303222775791,0.450009717845526,3.27709037495929,0.383641316636383,4.86618008315841,3.46389583683049e-14,0.4,0.34,0.323044017463271,0.448251217152199,0.405691279338043,0.399780376127117,0.40644237492352,0.402801258974941,0.393185310664512,0.432429261145036,0.389855592400893,0.385198826228901,0.391748971313993,0.387177864096287,0.378330570495912,5,100,"normal","null",5,20,0,1
17,TRUE,TRUE,TRUE,"","","",0,0.001,0.002,0.002,0.00600000000000001,0,0,0,0,TRUE,0.481804484292319,1.01176522295257,0.349810558594044,2.95328577340934,0.316779735171273,4.48806648104064,1.22746257602557e-12,0.58,0.605,0.524908276701534,0.458466395166421,0.460155427235618,0.454010729487976,0.458074196835311,0.457891926889526,0.450926639547415,0.481481688138701,0.483156890548992,0.475913728070463,0.479952287901222,0.480729313061762,0.473142598687494,5,100,"normal","null",5,20,0,1
18,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.65884286258907,1.0914385122573,0.352978055797776,2.41076037348303,0.356507252417381,6.17714997027847,7.43298755878641e-11,0.375,0.23,0.242987999230021,0.260544755163952,0.303912392267371,0.305279055233813,0.30870885726218,0.303009609490802,0.300303483652403,0.289361165950845,0.33396230342509,0.333877620022579,0.337606752514725,0.33274973451544,0.328959252997577,5,100,"normal","null",5,20,0,1
19,TRUE,TRUE,TRUE,"","","",0,0.001,0.000999999999999945,0.003,0.00599999999999995,0,0.000999999999999945,0,0,TRUE,0.528951403438205,0.950521625779548,0.3808091160259,2.65013491156847,0.327512397590229,9.00477772659785,1.4210854715202e-13,0.1,0.16,0.160948984122106,0.127350099557139,0.101586961794259,0.109564069257891,0.109887984907799,0.103028226156779,0.10744957514078,0.108873742188858,0.0855750660507527,0.0934506702455762,0.0934862678107706,0.0871375776841711,0.0918695340052264,5,100,"normal","null",5,20,0,1
20,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0.001,0,TRUE,0.494783165793063,0.969217134194508,0.606048220249402,4.01672676726157,0.526280699023153,3.27702449426923,1.19904086659517e-14,0.6,0.635,0.633423008242899,0.653895304020182,0.634365787437988,0.597061305440553,0.605781592725852,0.629017262219847,0.600750270766932,0.657361015852915,0.637941907521062,0.600292270200967,0.608884006156072,0.632586541194998,0.60428615334141,5,100,"normal","null",5,20,0,1
