"cell_id","p","n","df","n_over_df","distribution","truth","phase","n_timed","median_seconds","p90_seconds"
1,5,100,5,20,"normal","null","draw",100,0,0
1,5,100,5,20,"normal","null","fit",100,0.001,0.001
1,5,100,5,20,"normal","null","flip_total",100,0.001,0.00163333333333327
1,5,100,5,20,"normal","null","flip_setup",100,0,0.001
1,5,100,5,20,"normal","null","flip_score",100,0,0.001
1,5,100,5,20,"normal","null","standardization_setup",100,0,0.001
1,5,100,5,20,"normal","null","flip_standardization",100,0,0
1,5,100,5,20,"normal","null","fmg_battery",100,0.002,0.004
1,5,100,5,20,"normal","null","replication_total",100,0.005,0.00700000000000001
2,20,100,170,0.588235294117647,"normal","null","draw",100,0,0
2,20,100,170,0.588235294117647,"normal","null","fit",100,0.002,0.00300000000000011
2,20,100,170,0.588235294117647,"normal","null","flip_total",100,0.00700000000000012,0.0119999999999996
2,20,100,170,0.588235294117647,"normal","null","flip_setup",100,0.002,0.00300000000000011
2,20,100,170,0.588235294117647,"normal","null","flip_score",100,0.001,0.00199999999999978
2,20,100,170,0.588235294117647,"normal","null","standardization_setup",100,0.004,0.00699999999999967
2,20,100,170,0.588235294117647,"normal","null","flip_standardization",100,0,0
2,20,100,170,0.588235294117647,"normal","null","fmg_battery",100,0.036,0.0556333333333333
2,20,100,170,0.588235294117647,"normal","null","replication_total",100,0.0460000000000002,0.0702666666666666
3,5,400,5,80,"normal","null","draw",100,0,0
3,5,400,5,80,"normal","null","fit",100,0.00099999999999989,0.00100000000000011
3,5,400,5,80,"normal","null","flip_total",100,0.002,0.002
3,5,400,5,80,"normal","null","flip_setup",100,0,0.001
3,5,400,5,80,"normal","null","flip_score",100,0.00100000000000011,0.002
3,5,400,5,80,"normal","null","standardization_setup",100,0,0.00099999999999989
3,5,400,5,80,"normal","null","flip_standardization",100,0,0
3,5,400,5,80,"normal","null","fmg_battery",100,0.002,0.00299999999999989
3,5,400,5,80,"normal","null","replication_total",100,0.00499999999999989,0.00700000000000012
4,20,400,170,2.35294117647059,"normal","null","draw",100,0,0
4,20,400,170,2.35294117647059,"normal","null","fit",100,0.00299999999999878,0.00400000000000045
4,20,400,170,2.35294117647059,"normal","null","flip_total",100,0.0190000000000001,0.0300000000000008
4,20,400,170,2.35294117647059,"normal","null","flip_setup",100,0.00500000000000078,0.0080000000000009
4,20,400,170,2.35294117647059,"normal","null","flip_score",100,0.00499999999999989,0.00699999999999967
4,20,400,170,2.35294117647059,"normal","null","standardization_setup",100,0.00700000000000056,0.0129999999999999
4,20,400,170,2.35294117647059,"normal","null","flip_standardization",100,0.00199999999999978,0.00200000000000067
4,20,400,170,2.35294117647059,"normal","null","fmg_battery",100,0.016,0.0360000000000001
4,20,400,170,2.35294117647059,"normal","null","replication_total",100,0.0385,0.0706333333333333
5,5,100,5,20,"pl","null","draw",100,0,0
5,5,100,5,20,"pl","null","fit",100,0.00099999999999989,0.00100000000000011
5,5,100,5,20,"pl","null","flip_total",100,0.00099999999999989,0.00100000000000011
5,5,100,5,20,"pl","null","flip_setup",100,0,0.00099999999999989
5,5,100,5,20,"pl","null","flip_score",100,0,0.00100000000000011
5,5,100,5,20,"pl","null","standardization_setup",100,0,0
5,5,100,5,20,"pl","null","flip_standardization",100,0,0
5,5,100,5,20,"pl","null","fmg_battery",100,0.002,0.00300000000000011
5,5,100,5,20,"pl","null","replication_total",100,0.004,0.00600000000000001
6,20,100,170,0.588235294117647,"pl","null","draw",100,0,0
6,20,100,170,0.588235294117647,"pl","null","fit",100,0.00200000000000244,0.00300000000000011
6,20,100,170,0.588235294117647,"pl","null","flip_total",100,0.00700000000000145,0.00800000000000137
6,20,100,170,0.588235294117647,"pl","null","flip_setup",100,0.00199999999999889,0.00200000000000244
6,20,100,170,0.588235294117647,"pl","null","flip_score",100,0.00100000000000122,0.00163333333333309
6,20,100,170,0.588235294117647,"pl","null","standardization_setup",100,0.00400000000000134,0.00400000000000134
6,20,100,170,0.588235294117647,"pl","null","flip_standardization",100,0,0
6,20,100,170,0.588235294117647,"pl","null","fmg_battery",100,0.036999999999999,0.0396333333333333
6,20,100,170,0.588235294117647,"pl","null","replication_total",100,0.0470000000000006,0.0500000000000007
7,5,400,5,80,"pl","null","draw",100,0,0
7,5,400,5,80,"pl","null","fit",100,0.00099999999999989,0.00100000000000033
7,5,400,5,80,"pl","null","flip_total",100,0.00200000000000022,0.00300000000000011
7,5,400,5,80,"pl","null","flip_setup",100,0,0.00099999999999989
7,5,400,5,80,"pl","null","flip_score",100,0.00199999999999978,0.00200000000000022
7,5,400,5,80,"pl","null","standardization_setup",100,0,0.00099999999999989
7,5,400,5,80,"pl","null","flip_standardization",100,0,0
7,5,400,5,80,"pl","null","fmg_battery",100,0.00299999999999967,0.00363333333333338
7,5,400,5,80,"pl","null","replication_total",100,0.00700000000000012,0.0100000000000001
8,20,400,170,2.35294117647059,"pl","null","draw",100,0,0
8,20,400,170,2.35294117647059,"pl","null","fit",100,0.00200000000000244,0.00300000000000011
8,20,400,170,2.35294117647059,"pl","null","flip_total",100,0.0180000000000007,0.0199999999999996
8,20,400,170,2.35294117647059,"pl","null","flip_setup",100,0.00499999999999901,0.00600000000000023
8,20,400,170,2.35294117647059,"pl","null","flip_score",100,0.00499999999999545,0.00500000000000256
8,20,400,170,2.35294117647059,"pl","null","standardization_setup",100,0.00699999999999967,0.00799999999999912
8,20,400,170,2.35294117647059,"pl","null","flip_standardization",100,0.00199999999999534,0.00200000000000244
8,20,400,170,2.35294117647059,"pl","null","fmg_battery",100,0.0499999999999989,0.0560000000000019
8,20,400,170,2.35294117647059,"pl","null","replication_total",100,0.0719999999999992,0.0799999999999983
9,5,100,5,20,"normal","power","draw",100,0,0
9,5,100,5,20,"normal","power","fit",100,0.00099999999999989,0.00100000000000033
9,5,100,5,20,"normal","power","flip_total",100,0.00099999999999989,0.00100000000000033
9,5,100,5,20,"normal","power","flip_setup",100,0,0.00100000000000003
9,5,100,5,20,"normal","power","flip_score",100,0,0.00100000000000011
9,5,100,5,20,"normal","power","standardization_setup",100,0,0.00063333333333327
9,5,100,5,20,"normal","power","flip_standardization",100,0,0
9,5,100,5,20,"normal","power","fmg_battery",100,0.00200000000000022,0.004
9,5,100,5,20,"normal","power","replication_total",100,0.00600000000000001,0.00800000000000001
10,20,100,170,0.588235294117647,"normal","power","draw",100,0,0
10,20,100,170,0.588235294117647,"normal","power","fit",100,0.00200000000000067,0.004
10,20,100,170,0.588235294117647,"normal","power","flip_total",100,0.00700000000000056,0.0120000000000005
10,20,100,170,0.588235294117647,"normal","power","flip_setup",100,0.00200000000000067,0.00399999999999956
10,20,100,170,0.588235294117647,"normal","power","flip_score",100,0.00100000000000033,0.00200000000000022
10,20,100,170,0.588235294117647,"normal","power","standardization_setup",100,0.00400000000000045,0.00699999999999967
10,20,100,170,0.588235294117647,"normal","power","flip_standardization",100,0,0
10,20,100,170,0.588235294117647,"normal","power","fmg_battery",100,0.04,0.0766333333333335
10,20,100,170,0.588235294117647,"normal","power","replication_total",100,0.0500000000000007,0.0936333333333335
11,5,400,5,80,"normal","power","draw",100,0,0
11,5,400,5,80,"normal","power","fit",100,0.00099999999999989,0.00100000000000033
11,5,400,5,80,"normal","power","flip_total",100,0.00199999999999978,0.00300000000000011
11,5,400,5,80,"normal","power","flip_setup",100,0,0.00099999999999989
11,5,400,5,80,"normal","power","flip_score",100,0.00100000000000033,0.00200000000000022
11,5,400,5,80,"normal","power","standardization_setup",100,0,0.00063333333333327
11,5,400,5,80,"normal","power","flip_standardization",100,0,0
11,5,400,5,80,"normal","power","fmg_battery",100,0.00199999999999978,0.00300000000000011
11,5,400,5,80,"normal","power","replication_total",100,0.00600000000000023,0.0089999999999999
12,20,400,170,2.35294117647059,"normal","power","draw",100,0,0
12,20,400,170,2.35294117647059,"normal","power","fit",100,0.00200000000000067,0.00300000000000011
12,20,400,170,2.35294117647059,"normal","power","flip_total",100,0.0180000000000007,0.0199999999999996
12,20,400,170,2.35294117647059,"normal","power","flip_setup",100,0.00499999999999901,0.00600000000000023
12,20,400,170,2.35294117647059,"normal","power","flip_score",100,0.00499999999999901,0.00500000000000078
12,20,400,170,2.35294117647059,"normal","power","standardization_setup",100,0.00699999999999967,0.00799999999999912
12,20,400,170,2.35294117647059,"normal","power","flip_standardization",100,0.00199999999999889,0.00200000000000067
12,20,400,170,2.35294117647059,"normal","power","fmg_battery",100,0.016,0.0180000000000007
12,20,400,170,2.35294117647059,"normal","power","replication_total",100,0.0370000000000008,0.0409999999999986
13,5,100,5,20,"pl","power","draw",100,0,0
13,5,100,5,20,"pl","power","fit",100,0.000999999999999446,0.00100000000000033
13,5,100,5,20,"pl","power","flip_total",100,0.000999999999999668,0.00100000000000033
13,5,100,5,20,"pl","power","flip_setup",100,0,0.00100000000000033
13,5,100,5,20,"pl","power","flip_score",100,0,0.00100000000000033
13,5,100,5,20,"pl","power","standardization_setup",100,0,0.00100000000000033
13,5,100,5,20,"pl","power","flip_standardization",100,0,0
13,5,100,5,20,"pl","power","fmg_battery",100,0.00199999999999978,0.00463333333333327
13,5,100,5,20,"pl","power","replication_total",100,0.00400000000000045,0.00699999999999967
14,20,100,170,0.588235294117647,"pl","power","draw",100,0,0
14,20,100,170,0.588235294117647,"pl","power","fit",100,0.00200000000000067,0.00300000000000011
14,20,100,170,0.588235294117647,"pl","power","flip_total",100,0.00700000000000145,0.00799999999999912
14,20,100,170,0.588235294117647,"pl","power","flip_setup",100,0.00199999999999889,0.00300000000000011
14,20,100,170,0.588235294117647,"pl","power","flip_score",100,0.00100000000000122,0.00199999999999889
14,20,100,170,0.588235294117647,"pl","power","standardization_setup",100,0.00400000000000134,0.00400000000000134
14,20,100,170,0.588235294117647,"pl","power","flip_standardization",100,0,0
14,20,100,170,0.588235294117647,"pl","power","fmg_battery",100,0.0380000000000003,0.0406333333333323
14,20,100,170,0.588235294117647,"pl","power","replication_total",100,0.0479999999999983,0.0510000000000019
15,5,400,5,80,"pl","power","draw",100,0,0
15,5,400,5,80,"pl","power","fit",100,0.000999999999999446,0.00100000000000033
15,5,400,5,80,"pl","power","flip_total",100,0.00199999999999978,0.00200000000000067
15,5,400,5,80,"pl","power","flip_setup",100,0,0.00100000000000001
15,5,400,5,80,"pl","power","flip_score",100,0.00100000000000033,0.00100000000000033
15,5,400,5,80,"pl","power","standardization_setup",100,0,0
15,5,400,5,80,"pl","power","flip_standardization",100,0,0
15,5,400,5,80,"pl","power","fmg_battery",100,0.00199999999999978,0.00263333333333309
15,5,400,5,80,"pl","power","replication_total",100,0.00400000000000045,0.00600000000000023
16,20,400,170,2.35294117647059,"pl","power","draw",100,0,0
16,20,400,170,2.35294117647059,"pl","power","fit",100,0.00200000000000244,0.00300000000000011
16,20,400,170,2.35294117647059,"pl","power","flip_total",100,0.0180000000000007,0.0200000000000018
16,20,400,170,2.35294117647059,"pl","power","flip_setup",100,0.00499999999999901,0.00600000000000023
16,20,400,170,2.35294117647059,"pl","power","flip_score",100,0.00499999999999901,0.00500000000000256
16,20,400,170,2.35294117647059,"pl","power","standardization_setup",100,0.0069999999999979,0.00763333333333462
16,20,400,170,2.35294117647059,"pl","power","flip_standardization",100,0.00199999999999534,0.00200000000000244
16,20,400,170,2.35294117647059,"pl","power","fmg_battery",100,0.0499999999999972,0.0549999999999997
16,20,400,170,2.35294117647059,"pl","power","replication_total",100,0.0719999999999956,0.0790000000000006
