"distribution","truth","n_group1","missing_rate","n_group2","n_total","df","cell_id"
"normal","null",50,0,35,85,5,1
"pl","null",50,0,35,85,5,2
"normal","power",50,0,35,85,5,3
"pl","power",50,0,35,85,5,4
"normal","null",100,0,70,170,5,5
"pl","null",100,0,70,170,5,6
"normal","power",100,0,70,170,5,7
"pl","power",100,0,70,170,5,8
"normal","null",200,0,140,340,5,9
"pl","null",200,0,140,340,5,10
"normal","power",200,0,140,340,5,11
"pl","power",200,0,140,340,5,12
"normal","null",50,0.15,35,85,5,13
"pl","null",50,0.15,35,85,5,14
"normal","power",50,0.15,35,85,5,15
"pl","power",50,0.15,35,85,5,16
"normal","null",100,0.15,70,170,5,17
"pl","null",100,0.15,70,170,5,18
"normal","power",100,0.15,70,170,5,19
"pl","power",100,0.15,70,170,5,20
"normal","null",200,0.15,140,340,5,21
"pl","null",200,0.15,140,340,5,22
"normal","power",200,0.15,140,340,5,23
"pl","power",200,0.15,140,340,5,24
"normal","null",50,0.3,35,85,5,25
"pl","null",50,0.3,35,85,5,26
"normal","power",50,0.3,35,85,5,27
"pl","power",50,0.3,35,85,5,28
"normal","null",100,0.3,70,170,5,29
"pl","null",100,0.3,70,170,5,30
"normal","power",100,0.3,70,170,5,31
"pl","power",100,0.3,70,170,5,32
"normal","null",200,0.3,140,340,5,33
"pl","null",200,0.3,140,340,5,34
"normal","power",200,0.3,140,340,5,35
"pl","power",200,0.3,140,340,5,36
