"cell_id","distribution","truth","n_group1","missing_rate","rep","fit_ok","flip_ok","nested_ok","fit_error","flip_error","nested_error"
25,"normal","null",50,0.3,9,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 24758816361534632.000000, tol 2475881.636153, min eigen 0.000000, max eigen 24758816361534632.000000)"
25,"normal","null",50,0.3,11,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -430812822693312.375000, max eigen 190970047610923.656250, tol 19097.004761, rank 2/5, rcond -2.255918)"
25,"normal","null",50,0.3,30,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -139475461275319.062500, max eigen 51527966677298.781250, tol 5152.796668, rank 2/5, rcond -2.706791)"
25,"normal","null",50,0.3,43,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -1584494411768081.250000, max eigen 1161917490439605.750000, tol 116191.749044, rank 2/5, rcond -1.363689)"
25,"normal","null",50,0.3,51,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.44634: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
25,"normal","null",50,0.3,71,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000001, max |eigen| 7458861.948270, tol 0.000746, min eigen 0.000001, max eigen 7458861.948270)"
27,"normal","power",50,0.3,32,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -72400256214823.812500, max eigen 322060638561316.375000, tol 32206.063856, rank 3/5, rcond -0.224803)"
27,"normal","power",50,0.3,64,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -116637947675450.375000, max eigen 173231026031462.718750, tol 17323.102603, rank 3/5, rcond -0.673309)"
14,"pl","null",50,0.15,27,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.010193, max |eigen| 329129000.934433, tol 0.032913, min eigen 0.010193, max eigen 329129000.934433)"
14,"pl","null",50,0.15,55,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 714708482794197376.000000, tol 71470848.279420, min eigen 0.000000, max eigen 714708482794197376.000000)"
18,"pl","null",100,0.15,2,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=3.17055: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
18,"pl","null",100,0.15,72,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 688576677357032046592.000000, tol 68857667735.703201, min eigen -0.051901, max eigen 688576677357032046592.000000)"
26,"pl","null",50,0.3,11,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 10000 iters, f=0.815544: FIML H1 EM: block 2 reached the iteration cap (10000); final max parameter change = 2.264432e-04, final objective change = 7.516692e-07, objective gate met","",""
26,"pl","null",50,0.3,17,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=-1.03675: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
26,"pl","null",50,0.3,26,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000001, max |eigen| 1602935979547812864.000000, tol 160293597.954781, min eigen -711.846574, max eigen 1602935979547812864.000000)"
26,"pl","null",50,0.3,30,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -81974317571854.578125, max eigen 112143232034834.359375, tol 11214.323203, rank 2/5, rcond -0.730979)"
26,"pl","null",50,0.3,38,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.52833: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
26,"pl","null",50,0.3,42,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 860630252646921472.000000, tol 86063025.264692, min eigen -8.205678, max eigen 860630252646921472.000000)"
26,"pl","null",50,0.3,43,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -5181157930729427.000000, max eigen 592068545471127.750000, tol 59206.854547, rank 3/5, rcond -8.750943)"
26,"pl","null",50,0.3,53,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000035, max |eigen| 2401775170311621.000000, tol 240177.517031, min eigen -0.535957, max eigen 2401775170311621.000000)"
26,"pl","null",50,0.3,56,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -245036699842615.781250, max eigen 63570514044314.960938, tol 6357.051404, rank 2/5, rcond -3.854565)"
26,"pl","null",50,0.3,63,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 2323000527812033024.000000, tol 232300052.781203, min eigen -0.000639, max eigen 2323000527812033024.000000)"
26,"pl","null",50,0.3,65,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 5.707512, max |eigen| 1568387824376208424960.000000, tol 156838782437.620850, min eigen -123688646712.961151, max eigen 1568387824376208424960.000000)"
26,"pl","null",50,0.3,73,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.89547: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
26,"pl","null",50,0.3,74,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=0.671753: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
26,"pl","null",50,0.3,89,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.83001: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
26,"pl","null",50,0.3,92,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 44533070156747366400.000000, tol 4453307015.674737, min eigen 0.000000, max eigen 44533070156747366400.000000)"
30,"pl","null",100,0.3,9,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.27223: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
30,"pl","null",100,0.3,21,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=3.16883: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
30,"pl","null",100,0.3,49,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.95427: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
30,"pl","null",100,0.3,75,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 201762324979601280.000000, tol 20176232.497960, min eigen 0.000000, max eigen 201762324979601280.000000)"
34,"pl","null",200,0.3,12,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.27136: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
34,"pl","null",200,0.3,96,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.22354: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
16,"pl","power",50,0.15,19,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 1353022733721040896.000000, tol 135302273.372104, min eigen -8.007128, max eigen 1353022733721040896.000000)"
16,"pl","power",50,0.15,52,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.33975: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
20,"pl","power",100,0.15,25,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000009, max |eigen| 16137920.871446, tol 0.001614, min eigen 0.000009, max eigen 16137920.871446)"
24,"pl","power",200,0.15,13,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.55633: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
28,"pl","power",50,0.3,11,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 739652258120302976.000000, tol 73965225.812030, min eigen -164.238616, max eigen 739652258120302976.000000)"
28,"pl","power",50,0.3,14,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.26464: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
28,"pl","power",50,0.3,17,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=2.20196: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
28,"pl","power",50,0.3,21,TRUE,TRUE,FALSE,"","","magmaan inference error [NumericIssue]: compute_satorra2000_from_sandwich: reduced S matrix is not positive semidefinite (min eigen -2136003234692.248779, max eigen 803390188209643.875000, tol 80339.018821, rank 2/5, rcond -0.002659)"
28,"pl","power",50,0.3,26,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 16000 iters, f=1.9476: SLSQP fallback after L-BFGS failure also failed; L-BFGS: nlopt Limited-memory BFGS (L-BFGS) (local, derivative-based): generic solver failure; SLSQP: nlopt Sequential Quadratic Programming (SQP) (local, derivative): evaluation budget exhausted without convergence","",""
28,"pl","power",50,0.3,30,FALSE,FALSE,FALSE,"magmaan fit error [OptimizerNonConvergence] after 10000 iters, f=0.692676: FIML H1 EM: block 2 reached the iteration cap (10000); final max parameter change = 1.070633e-05, final objective change = 2.130719e-06, objective gate not met","",""
28,"pl","power",50,0.3,31,TRUE,TRUE,FALSE,"","","magmaan inference error [InfoMatrixSingular]: compute_satorra2000_from_sandwich: H1 alpha-space bread A1 is singular or ill-conditioned (min |eigen| 0.000000, max |eigen| 2066219039317229236080949074352668672.000000, tol 206621903931722923396562944.000000, min eigen -61.895121, max eigen 2066219039317229236080949074352668672.000000)"
