"distribution","n_group1","n_group2","n_total","missing_rate","df","method","n_null","n_power","rejected","nominal_power","matched_power","ci_lower","ci_upper"
"normal",50,35,85,0,5,"flip_basic",100,100,18,0.15,0.18,0.117002254989464,0.266673583863007
"pl",50,35,85,0,5,"flip_basic",100,100,11,0,0.11,0.0625419635706458,0.186312965030803
"normal",100,70,170,0,5,"flip_basic",100,100,41,0.2,0.41,0.318673130211365,0.507985699465892
"pl",100,70,170,0,5,"flip_basic",100,100,6,0.01,0.06,0.0277861239631882,0.124768154458959
"normal",200,140,340,0,5,"flip_basic",100,100,80,0.52,0.8,0.711170834406841,0.866633066668967
"pl",200,140,340,0,5,"flip_basic",100,100,10,0.03,0.1,0.0552291370606752,0.174365661504913
"normal",50,35,85,0.15,5,"flip_basic",100,100,12,0.09,0.12,0.069994064370195,0.198120994267114
"pl",50,35,85,0.15,5,"flip_basic",100,99,3,0,0.0303030303030303,0.0103586395784541,0.08533680206102
"normal",100,70,170,0.15,5,"flip_basic",100,100,36,0.15,0.36,0.272712204014043,0.457645975483912
"pl",100,70,170,0.15,5,"flip_basic",99,100,7,0.02,0.07,0.0343192610672727,0.137495147390735
"normal",200,140,340,0.15,5,"flip_basic",100,100,70,0.48,0.7,0.604151453666534,0.781051147050672
"pl",200,140,340,0.15,5,"flip_basic",100,99,9,0.0202020202020202,0.0909090909090909,0.0485657628815133,0.163814137901254
"normal",50,35,85,0.3,5,"flip_basic",99,100,17,0.07,0.17,0.108935661140599,0.255480047676011
"pl",50,35,85,0.3,5,"flip_basic",94,92,1,0,0.0108695652173913,0.00192132904009172,0.059027856130625
"normal",100,70,170,0.3,5,"flip_basic",100,100,36,0.12,0.36,0.272712204014043,0.457645975483912
"pl",100,70,170,0.3,5,"flip_basic",97,97,6,0.0103092783505155,0.0618556701030928,0.0286548857157183,0.128437831961658
"normal",200,140,340,0.3,5,"flip_basic",100,100,57,0.42,0.57,0.472153895492123,0.662667014758899
"pl",200,140,340,0.3,5,"flip_basic",98,99,7,0,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0,5,"flip_effective",100,100,27,0.22,0.27,0.192695841495764,0.36432116767945
