"cell_id","distribution","truth","n_group1","n_group2","n_total","missing_rate","df","method","n","rejected","rejection_rate","ci_lower","ci_upper"
1,"normal","null",50,35,85,0,5,"flip_basic",100,1,0.01,0.00176743206414065,0.0544861961787052
1,"normal","null",50,35,85,0,5,"flip_effective",100,4,0.04,0.0156633039915476,0.098370714358879
1,"normal","null",50,35,85,0,5,"flip_standardized",100,4,0.04,0.0156633039915476,0.098370714358879
1,"normal","null",50,35,85,0,5,"nested_all_ml",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"nested_mv_ml",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"nested_peba4_ml",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"nested_sb_ml",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"nested_ss_ml",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"nested_std_ml",100,4,0.04,0.0156633039915476,0.098370714358879
1,"normal","null",50,35,85,0,5,"score_all",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"score_chisq",100,4,0.04,0.0156633039915476,0.098370714358879
1,"normal","null",50,35,85,0,5,"score_mv",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"score_peba4",100,4,0.04,0.0156633039915476,0.098370714358879
1,"normal","null",50,35,85,0,5,"score_sandwich",100,3,0.03,0.0102545240240389,0.0845193642905274
1,"normal","null",50,35,85,0,5,"score_sb",100,4,0.04,0.0156633039915476,0.098370714358879
1,"normal","null",50,35,85,0,5,"score_ss",100,3,0.03,0.0102545240240389,0.0845193642905274
2,"pl","null",50,35,85,0,5,"flip_basic",100,0,0,0,0.0369934982069855
2,"pl","null",50,35,85,0,5,"flip_effective",100,8,0.08,0.0410934614843807,0.149981077009487
2,"pl","null",50,35,85,0,5,"flip_standardized",100,8,0.08,0.0410934614843807,0.149981077009487
2,"pl","null",50,35,85,0,5,"nested_all_ml",100,18,0.18,0.117002254989464,0.266673583863007
2,"pl","null",50,35,85,0,5,"nested_mv_ml",100,18,0.18,0.117002254989464,0.266673583863007
2,"pl","null",50,35,85,0,5,"nested_peba4_ml",100,25,0.25,0.175452113622877,0.343044635480616
2,"pl","null",50,35,85,0,5,"nested_sb_ml",100,25,0.25,0.175452113622877,0.343044635480616
2,"pl","null",50,35,85,0,5,"nested_ss_ml",100,18,0.18,0.117002254989464,0.266673583863007
2,"pl","null",50,35,85,0,5,"nested_std_ml",100,86,0.86,0.778628117890362,0.914736563400609
2,"pl","null",50,35,85,0,5,"score_all",100,1,0.01,0.00176743206414065,0.0544861961787052
2,"pl","null",50,35,85,0,5,"score_chisq",100,82,0.82,0.733326416136993,0.882997745010536
2,"pl","null",50,35,85,0,5,"score_mv",100,1,0.01,0.00176743206414065,0.0544861961787052
2,"pl","null",50,35,85,0,5,"score_peba4",100,5,0.05,0.021543679154368,0.111750469231919
2,"pl","null",50,35,85,0,5,"score_sandwich",100,2,0.02,0.00550196755016236,0.0700117907285438
2,"pl","null",50,35,85,0,5,"score_sb",100,6,0.06,0.0277861239631882,0.124768154458959
2,"pl","null",50,35,85,0,5,"score_ss",100,1,0.01,0.00176743206414065,0.0544861961787052
3,"normal","power",50,35,85,0,5,"flip_basic",100,15,0.15,0.0930598528365664,0.232835595908323
3,"normal","power",50,35,85,0,5,"flip_effective",100,22,0.22,0.150012823846054,0.310703535149858
3,"normal","power",50,35,85,0,5,"flip_standardized",100,22,0.22,0.150012823846054,0.310703535149858
3,"normal","power",50,35,85,0,5,"nested_all_ml",100,18,0.18,0.117002254989464,0.266673583863007
3,"normal","power",50,35,85,0,5,"nested_mv_ml",100,18,0.18,0.117002254989464,0.266673583863007
3,"normal","power",50,35,85,0,5,"nested_peba4_ml",100,18,0.18,0.117002254989464,0.266673583863007
3,"normal","power",50,35,85,0,5,"nested_sb_ml",100,18,0.18,0.117002254989464,0.266673583863007
3,"normal","power",50,35,85,0,5,"nested_ss_ml",100,18,0.18,0.117002254989464,0.266673583863007
3,"normal","power",50,35,85,0,5,"nested_std_ml",100,21,0.21,0.141656540619153,0.299799688340898
3,"normal","power",50,35,85,0,5,"score_all",100,18,0.18,0.117002254989464,0.266673583863007
3,"normal","power",50,35,85,0,5,"score_chisq",100,19,0.19,0.125147515097687,0.277788453790644
3,"normal","power",50,35,85,0,5,"score_mv",100,17,0.17,0.108935661140599,0.255480047676011
3,"normal","power",50,35,85,0,5,"score_peba4",100,19,0.19,0.125147515097687,0.277788453790644
3,"normal","power",50,35,85,0,5,"score_sandwich",100,14,0.14,0.0852634365993914,0.221371882109638
3,"normal","power",50,35,85,0,5,"score_sb",100,19,0.19,0.125147515097687,0.277788453790644
3,"normal","power",50,35,85,0,5,"score_ss",100,18,0.18,0.117002254989464,0.266673583863007
4,"pl","power",50,35,85,0,5,"flip_basic",100,0,0,0,0.0369934982069855
4,"pl","power",50,35,85,0,5,"flip_effective",100,16,0.16,0.100952884888048,0.244202693892702
4,"pl","power",50,35,85,0,5,"flip_standardized",100,15,0.15,0.0930598528365664,0.232835595908323
4,"pl","power",50,35,85,0,5,"nested_all_ml",100,31,0.31,0.227796972123761,0.406260557194894
4,"pl","power",50,35,85,0,5,"nested_mv_ml",100,31,0.31,0.227796972123761,0.406260557194894
4,"pl","power",50,35,85,0,5,"nested_peba4_ml",100,37,0.37,0.281823605343246,0.467794704190571
4,"pl","power",50,35,85,0,5,"nested_sb_ml",100,37,0.37,0.281823605343246,0.467794704190571
4,"pl","power",50,35,85,0,5,"nested_ss_ml",100,31,0.31,0.227796972123761,0.406260557194894
4,"pl","power",50,35,85,0,5,"nested_std_ml",100,94,0.94,0.875231845541041,0.972213876036812
4,"pl","power",50,35,85,0,5,"score_all",100,4,0.04,0.0156633039915476,0.098370714358879
4,"pl","power",50,35,85,0,5,"score_chisq",100,92,0.92,0.850018922990513,0.958906538515619
4,"pl","power",50,35,85,0,5,"score_mv",100,4,0.04,0.0156633039915476,0.098370714358879
4,"pl","power",50,35,85,0,5,"score_peba4",100,9,0.09,0.0480725400025652,0.162262128527163
4,"pl","power",50,35,85,0,5,"score_sandwich",100,0,0,0,0.0369934982069855
4,"pl","power",50,35,85,0,5,"score_sb",100,12,0.12,0.069994064370195,0.198120994267114
4,"pl","power",50,35,85,0,5,"score_ss",100,4,0.04,0.0156633039915476,0.098370714358879
5,"normal","null",100,70,170,0,5,"flip_basic",100,0,0,0,0.0369934982069855
5,"normal","null",100,70,170,0,5,"flip_effective",100,2,0.02,0.00550196755016236,0.0700117907285438
5,"normal","null",100,70,170,0,5,"flip_standardized",100,2,0.02,0.00550196755016236,0.0700117907285438
5,"normal","null",100,70,170,0,5,"nested_all_ml",100,2,0.02,0.00550196755016236,0.0700117907285438
5,"normal","null",100,70,170,0,5,"nested_mv_ml",100,2,0.02,0.00550196755016236,0.0700117907285438
