"cell_id","distribution","truth","n_group1","n_group2","n_total","missing_rate","df","n","rejection_basic","rejection_effective","rejection_standardized","rescue_basic_to_effective","rejection_delta","disagreement_rate","changed_to_accept","changed_to_reject","mean_abs_delta_p","median_variance_shift","median_pattern_count"
1,"normal","null",50,35,85,0,5,100,0.01,0.04,0.04,0.03,0,0,0,0,0.0047,0.0113732344420319,2
2,"pl","null",50,35,85,0,5,100,0,0.08,0.08,0.08,0,0,0,0,0.00525,0.00948202451089531,2
3,"normal","power",50,35,85,0,5,100,0.15,0.22,0.22,0.07,0,0,0,0,0.00395,0.0111973567754587,2
4,"pl","power",50,35,85,0,5,100,0,0.16,0.15,0.16,-0.01,0.01,0.01,0,0.0046,0.00947744156329351,2
5,"normal","null",100,70,170,0,5,100,0,0.02,0.02,0.02,0,0,0,0,0.0027,0.00574066324289722,2
6,"pl","null",100,70,170,0,5,100,0.02,0.11,0.11,0.09,0,0,0,0,0.0024,0.0052474689786999,2
7,"normal","power",100,70,170,0,5,100,0.2,0.33,0.32,0.13,-0.01,0.01,0.01,0,0.00265,0.00587126867387685,2
8,"pl","power",100,70,170,0,5,100,0.01,0.13,0.13,0.12,0,0,0,0,0.0026,0.00518333024821074,2
9,"normal","null",200,140,340,0,5,100,0.02,0.03,0.03,0.01,0,0,0,0,0.0012,0.00292206606625717,2
10,"pl","null",200,140,340,0,5,100,0.01,0.05,0.05,0.06,0,0,0,0,0.0012,0.00277924418443286,2
11,"normal","power",200,140,340,0,5,100,0.52,0.69,0.69,0.17,0,0,0,0,0.00055,0.00302805349335415,2
12,"pl","power",200,140,340,0,5,100,0.03,0.09,0.09,0.06,0,0,0,0,0.000950000000000001,0.00272622557067749,2
13,"normal","null",50,35,85,0.15,5,100,0.03,0.05,0.05,0.02,0,0,0,0,0.006,0.0148058087423585,17
14,"pl","null",50,35,85,0.15,5,100,0,0.08,0.08,0.08,0,0,0,0,0.00585,0.0119338908279064,16
15,"normal","power",50,35,85,0.15,5,100,0.09,0.17,0.17,0.08,0,0,0,0,0.00605,0.0150558362306298,17
16,"pl","power",50,35,85,0.15,5,99,0,0.141414141414141,0.131313131313131,0.141414141414141,-0.0101010101010101,0.0101010101010101,0.0101010101010101,0,0.0047979797979798,0.0116013542713077,17
17,"normal","null",100,70,170,0.15,5,100,0.01,0.02,0.02,0.01,0,0,0,0,0.00345,0.00767320136880169,21
18,"pl","null",100,70,170,0.15,5,99,0,0.171717171717172,0.161616161616162,0.171717171717172,-0.0101010101010101,0.0101010101010101,0.0101010101010101,0,0.00267676767676768,0.00672222609934759,21
19,"normal","power",100,70,170,0.15,5,100,0.15,0.34,0.34,0.19,0,0,0,0,0.00195,0.00777878301706558,21
20,"pl","power",100,70,170,0.15,5,100,0.02,0.11,0.11,0.09,0,0,0,0,0.00245,0.00675529802910433,21
21,"normal","null",200,140,340,0.15,5,100,0.03,0.05,0.05,0.02,0,0,0,0,0.00125,0.00381471144444226,24
22,"pl","null",200,140,340,0.15,5,100,0,0.09,0.08,0.09,-0.01,0.01,0.01,0,0.0016,0.00356416597144818,24
23,"normal","power",200,140,340,0.15,5,100,0.48,0.63,0.63,0.15,0,0,0,0,4e-04,0.00383822821679974,24
24,"pl","power",200,140,340,0.15,5,99,0.0202020202020202,0.131313131313131,0.131313131313131,0.111111111111111,0,0,0,0,0.00116161616161616,0.00356997313314014,24
25,"normal","null",50,35,85,0.3,5,99,0,0.0505050505050505,0.0505050505050505,0.0505050505050505,0,0,0,0,0.00616161616161616,0.0185504017066325,25
26,"pl","null",50,35,85,0.3,5,94,0,0.0425531914893617,0.0425531914893617,0.0425531914893617,0,0,0,0,0.00664893617021277,0.0151864150588007,25
27,"normal","power",50,35,85,0.3,5,100,0.07,0.24,0.23,0.17,-0.01,0.01,0.01,0,0.0063,0.0189351939438465,25
28,"pl","power",50,35,85,0.3,5,92,0,0.108695652173913,0.108695652173913,0.108695652173913,0,0,0,0,0.00521739130434782,0.0144571554999652,25
29,"normal","null",100,70,170,0.3,5,100,0.01,0.03,0.03,0.02,0,0,0,0,0.0038,0.009425703514004,29
30,"pl","null",100,70,170,0.3,5,97,0,0.11340206185567,0.11340206185567,0.11340206185567,0,0,0,0,0.00288659793814433,0.0082492537183917,29
31,"normal","power",100,70,170,0.3,5,100,0.12,0.28,0.28,0.16,0,0,0,0,0.00215,0.00937659252404726,29
32,"pl","power",100,70,170,0.3,5,97,0.0103092783505155,0.123711340206186,0.123711340206186,0.11340206185567,0,0,0,0,0.0034020618556701,0.00847207219447427,29
33,"normal","null",200,140,340,0.3,5,100,0.02,0.05,0.04,0.03,-0.01,0.01,0.01,0,0.00115,0.00480879696387109,31.5
34,"pl","null",200,140,340,0.3,5,98,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0,0,0,0.00142857142857143,0.00446160543081837,31
35,"normal","power",200,140,340,0.3,5,100,0.42,0.59,0.57,0.17,-0.02,0.02,0.02,0,8e-04,0.00492411661570788,31
36,"pl","power",200,140,340,0.3,5,99,0,0.101010101010101,0.101010101010101,0.101010101010101,0,0,0,0,0.00176767676767677,0.00452374178200477,31
