"cell_id","distribution","truth","n_group1","n_group2","n_total","missing_rate","df","phase","n","median_seconds","p90_seconds"
1,"normal","null",50,35,85,0,5,"missing",100,0,0
1,"normal","null",50,35,85,0,5,"fit",100,0.003,0.004
1,"normal","null",50,35,85,0,5,"flip_total",100,0.002,0.00363333333333335
1,"normal","null",50,35,85,0,5,"flip_setup",100,0.000223048,0.000390861033333333
1,"normal","null",50,35,85,0,5,"flip_score",100,0.0007495565,0.00112504476666667
1,"normal","null",50,35,85,0,5,"flip_standardization",100,0.0008216905,0.0015478015
1,"normal","null",50,35,85,0,5,"flip_asymptotic",100,5.55075e-05,9.89543666666667e-05
1,"normal","null",50,35,85,0,5,"nested_fmg",100,0.002,0.003
1,"normal","null",50,35,85,0,5,"replication_total",100,0.00900000000000001,0.014
2,"pl","null",50,35,85,0,5,"missing",100,0,0
2,"pl","null",50,35,85,0,5,"fit",100,0.00499999999999989,0.00699999999999967
2,"pl","null",50,35,85,0,5,"flip_total",100,0.00399999999999956,0.00563333333333321
2,"pl","null",50,35,85,0,5,"flip_setup",100,0.000385445,0.0003996868
2,"pl","null",50,35,85,0,5,"flip_score",100,0.001137758,0.0012116439
2,"pl","null",50,35,85,0,5,"flip_standardization",100,0.001606593,0.00169159566666667
2,"pl","null",50,35,85,0,5,"flip_asymptotic",100,0.0003896395,0.00182254306666667
2,"pl","null",50,35,85,0,5,"nested_fmg",100,0.00300000000000011,0.00463333333333344
2,"pl","null",50,35,85,0,5,"replication_total",100,0.016,0.0199999999999996
3,"normal","power",50,35,85,0,5,"missing",100,0,0
3,"normal","power",50,35,85,0,5,"fit",100,0.003,0.00500000000000007
3,"normal","power",50,35,85,0,5,"flip_total",100,0.002,0.004
3,"normal","power",50,35,85,0,5,"flip_setup",100,0.000228047,0.000391306833333333
3,"normal","power",50,35,85,0,5,"flip_score",100,0.000737344,0.00115222343333333
3,"normal","power",50,35,85,0,5,"flip_standardization",100,0.000800396,0.0016051905
3,"normal","power",50,35,85,0,5,"flip_asymptotic",100,5.8099e-05,0.0001067343
3,"normal","power",50,35,85,0,5,"nested_fmg",100,0.002,0.003
3,"normal","power",50,35,85,0,5,"replication_total",100,0.00900000000000001,0.0149999999999999
4,"pl","power",50,35,85,0,5,"missing",100,0,0
4,"pl","power",50,35,85,0,5,"fit",100,0.00300000000000011,0.00463333333333327
4,"pl","power",50,35,85,0,5,"flip_total",100,0.00200000000000022,0.00300000000000011
4,"pl","power",50,35,85,0,5,"flip_setup",100,0.000213143,0.000232524266666667
4,"pl","power",50,35,85,0,5,"flip_score",100,0.0007193045,0.0007699745
4,"pl","power",50,35,85,0,5,"flip_standardization",100,0.0007840285,0.000836666166666667
4,"pl","power",50,35,85,0,5,"flip_asymptotic",100,0.000194996,0.00112547643333333
4,"pl","power",50,35,85,0,5,"nested_fmg",100,0.00199999999999978,0.00263333333333321
4,"pl","power",50,35,85,0,5,"replication_total",100,0.00900000000000034,0.0110000000000001
5,"normal","null",100,70,170,0,5,"missing",100,0,0
5,"normal","null",100,70,170,0,5,"fit",100,0.00300000000000011,0.004
5,"normal","null",100,70,170,0,5,"flip_total",100,0.002,0.00399999999999992
5,"normal","null",100,70,170,0,5,"flip_setup",100,0.0002590925,0.000422486433333333
5,"normal","null",100,70,170,0,5,"flip_score",100,0.0008890125,0.00131984216666667
5,"normal","null",100,70,170,0,5,"flip_standardization",100,0.000828423,0.0015532877
5,"normal","null",100,70,170,0,5,"flip_asymptotic",100,5.98075e-05,0.000103760833333333
5,"normal","null",100,70,170,0,5,"nested_fmg",100,0.002,0.00300000000000011
5,"normal","null",100,70,170,0,5,"replication_total",100,0.00900000000000012,0.0129999999999999
6,"pl","null",100,70,170,0,5,"missing",100,0,0
6,"pl","null",100,70,170,0,5,"fit",100,0.00499999999999989,0.00663333333333322
6,"pl","null",100,70,170,0,5,"flip_total",100,0.00400000000000045,0.00499999999999989
6,"pl","null",100,70,170,0,5,"flip_setup",100,0.000460485,0.0004843943
6,"pl","null",100,70,170,0,5,"flip_score",100,0.0014350875,0.00152510713333333
6,"pl","null",100,70,170,0,5,"flip_standardization",100,0.0016541565,0.00174458123333333
6,"pl","null",100,70,170,0,5,"flip_asymptotic",100,0.0001842325,0.000362171633333333
6,"pl","null",100,70,170,0,5,"nested_fmg",100,0.00300000000000011,0.00499999999999989
6,"pl","null",100,70,170,0,5,"replication_total",100,0.016,0.0180000000000004
7,"normal","power",100,70,170,0,5,"missing",100,0,0
